"","Site.recode","Site.Description","Histology","Histology.Description","Histology.Behavior","Histology.Behavior.Description","Histology.Behavior.Four"
"5072","C440-C449","SKIN",820,"ADENOID CYSTIC & CRIBRIFORM CA.","8201/2","Cribriform carcinoma in situ","8201"
"5073","C440-C449","SKIN",820,"ADENOID CYSTIC & CRIBRIFORM CA.","8201/3","Cribriform carcinoma","8201"
"5074","C440-C449","SKIN",823,"SOLID CARCINOMA, NOS","8230/2","Duct carcinoma in situ, solid type","8230"
"5075","C440-C449","SKIN",823,"SOLID CARCINOMA, NOS","8230/3","Solid carcinoma, NOS","8230"
"5076","C440-C449","SKIN",823,"SOLID CARCINOMA, NOS","8231/3","Carcinoma simplex","8231"
"5077","C440-C449","SKIN",824,"CARCINOID TUMOR, MALIGNANT","8247/3","Merkel cell carcinoma","8247"
"5078","C440-C449","SKIN",825,"BRONCHIOLO-ALVEOLAR ADENOCA.","8255/3","Adenocarcinoma with mixed subtypes","8255"
"5079","C440-C449","SKIN",826,"PAPILLARY ADENOCARCINOMA, NOS","8260/3","Papillary adenocarcinoma, NOS","8260"
"5080","C440-C449","SKIN",826,"PAPILLARY ADENOCARCINOMA, NOS","8261/2","Adenocarcinoma in situ in villous adenoma","8261"
"5081","C440-C449","SKIN",826,"PAPILLARY ADENOCARCINOMA, NOS","8261/3","Adenocarcinoma in villous adenoma","8261"
"5082","C440-C449","SKIN",826,"PAPILLARY ADENOCARCINOMA, NOS","8262/3","Villous adenocarcinoma","8262"
"5083","C440-C449","SKIN",826,"PAPILLARY ADENOCARCINOMA, NOS","8263/2","Adenocarcinoma in situ in tubulovillous adenoma","8263"
"5084","C440-C449","SKIN",826,"PAPILLARY ADENOCARCINOMA, NOS","8263/3","Adenocarcinoma in tubulovillous adenoma","8263"
"5085","C440-C449","SKIN",831,"CLEAR CELL ADENOCARCINOMA, NOS","8310/3","Clear cell adenocarcinoma, NOS","8310"
"5086","C440-C449","SKIN",839,"SKIN APPENDAGE CARCINOMA","8390/3","Skin appendage carcinoma","8390"
"5087","C440-C449","SKIN",840,"SWEAT GLAND ADENOCARCINOMA","8400/3","Sweat gland adenocarcinoma","8400"
"5088","C440-C449","SKIN",840,"SWEAT GLAND ADENOCARCINOMA","8401/3","Apocrine adenocarcinoma","8401"
"5089","C440-C449","SKIN",840,"SWEAT GLAND ADENOCARCINOMA","8402/3","Nodular hidradenoma, malignant","8402"
"5090","C440-C449","SKIN",840,"SWEAT GLAND ADENOCARCINOMA","8403/3","Malignant eccrine spiradenoma","8403"
"5091","C440-C449","SKIN",840,"SWEAT GLAND ADENOCARCINOMA","8407/3","Sclerosing sweat duct carcinoma","8407"
"5092","C440-C449","SKIN",840,"SWEAT GLAND ADENOCARCINOMA","8408/3","Eccrine papillary adenocarcinoma","8408"
"5093","C440-C449","SKIN",840,"SWEAT GLAND ADENOCARCINOMA","8409/3","Eccrine poroma, malignant","8409"
"5094","C440-C449","SKIN",841,"SEBACEOUS/ECCRINE ADENOCA.","8410/3","Sebaceous adenocarcinoma","8410"
"5095","C440-C449","SKIN",841,"SEBACEOUS/ECCRINE ADENOCA.","8413/3","Eccrine adenocarcinoma","8413"
"5096","C440-C449","SKIN",842,"CERUMINOUS ADENOCARCINOMA","8420/3","Ceruminous adenocarcinoma","8420"
"5097","C440-C449","SKIN",843,"MUCOEPIDERMOID CARCINOMA","8430/3","Mucoepidermoid carcinoma","8430"
"5098","C440-C449","SKIN",844,"CYSTADENOCARCINOMA, NOS","8440/3","Cystadenocarcinoma, NOS","8440"
"5099","C440-C449","SKIN",848,"MUCINOUS ADENOCARCINOMA","8480/3","Mucinous adenocarcinoma","8480"
"5100","C440-C449","SKIN",848,"MUCINOUS ADENOCARCINOMA","8481/3","Mucin-producing adenocarcinoma","8481"
"5101","C440-C449","SKIN",854,"PAGET DISEASE, EXTRAMAMMARY","8542/3","Paget disease, extramammary","8542"
"5102","C440-C449","SKIN",856,"ADENOSQUAMOUS CARCINOMA","8560/3","Adenosquamous carcinoma","8560"
"5103","C440-C449","SKIN",856,"ADENOSQUAMOUS CARCINOMA","8562/3","Epithelial-myoepithelial carcinoma","8562"
"5104","C440-C449","SKIN",857,"ADENOCA. WITH METAPLASIA","8570/3","Adenocarcinoma with squamous metaplasia","8570"
"5105","C440-C449","SKIN",857,"ADENOCA. WITH METAPLASIA","8571/3","Adenocarcinoma w cartilag. & oss. metaplas.","8571"
"5106","C440-C449","SKIN",857,"ADENOCA. WITH METAPLASIA","8572/3","Adenocarcinoma with spindle cell mataplasia","8572"
"5107","C440-C449","SKIN",857,"ADENOCA. WITH METAPLASIA","8573/3","Adenocarcinoma with apocrine metaplasia","8573"
"5108","C440-C449","SKIN",857,"ADENOCA. WITH METAPLASIA","8574/3","Adenocarcinoma with neuroendocrine differen.","8574"
"5109","C440-C449","SKIN",857,"ADENOCA. WITH METAPLASIA","8575/3","Metaplastic carcinoma, NOS","8575"
"5110","C440-C449","SKIN",872,"NEVI & MELANOMAS","8720/2","Melanoma in situ","8720"
"5111","C440-C449","SKIN",872,"NEVI & MELANOMAS","8720/3","Malignant melanoma, NOS","8720"
"5112","C440-C449","SKIN",872,"NEVI & MELANOMAS","8721/3","Nodular melanoma","8721"
"5113","C440-C449","SKIN",872,"NEVI & MELANOMAS","8722/3","Balloon cell melanoma","8722"
"5114","C440-C449","SKIN",872,"NEVI & MELANOMAS","8723/3","Malignant melanoma, regressing","8723"
"5115","C440-C449","SKIN",873,"AMELANOTIC MELANOMA","8730/3","Amelanotic melanoma","8730"
"5116","C440-C449","SKIN",874,"MAL. MEL. IN JUNCT. NEVUS","8740/3","Mal. melanoma in junctional nevus","8740"
"5117","C440-C449","SKIN",874,"MAL. MEL. IN JUNCT. NEVUS","8741/2","Precancerous melanosis, NOS","8741"
"5118","C440-C449","SKIN",874,"MAL. MEL. IN JUNCT. NEVUS","8741/3","Mal. melanoma in precan. melanosis","8741"
"5119","C440-C449","SKIN",874,"MAL. MEL. IN JUNCT. NEVUS","8742/2","Lentigo maligna","8742"
"5120","C440-C449","SKIN",874,"MAL. MEL. IN JUNCT. NEVUS","8742/3","Lentigo maligna melanoma","8742"
"5121","C440-C449","SKIN",874,"MAL. MEL. IN JUNCT. NEVUS","8743/2","Superficial spreading melanoma, in situ","8743"
"5122","C440-C449","SKIN",874,"MAL. MEL. IN JUNCT. NEVUS","8743/3","Superficial spreading melanoma","8743"
"5123","C440-C449","SKIN",874,"MAL. MEL. IN JUNCT. NEVUS","8744/3","Acral lentiginous melanoma, malig.","8744"
"5124","C440-C449","SKIN",874,"MAL. MEL. IN JUNCT. NEVUS","8745/3","Desmoplastic melanoma, malignant","8745"
"5125","C440-C449","SKIN",874,"MAL. MEL. IN JUNCT. NEVUS","8746/3","Mucosal lentiginous melanoma","8746"
"5126","C440-C449","SKIN",876,"MAL. MELAN. IN GIANT PIGMT. NEVUS","8761/3","Mal. melanoma in giant pigmented nevus","8761"
"5127","C440-C449","SKIN",877,"EPITHELIOID CELL MELANOMA","8770/3","Mixed epithel. & spindle cell melanoma","8770"
"5128","C440-C449","SKIN",877,"EPITHELIOID CELL MELANOMA","8771/3","Epithelioid cell melanoma","8771"
"5129","C440-C449","SKIN",877,"EPITHELIOID CELL MELANOMA","8772/3","Spindle cell melanoma, NOS","8772"
"5130","C440-C449","SKIN",878,"BLUE NEVUS, MALIGNANT","8780/3","Blue nevus, malignant","8780"
"5131","C440-C449","SKIN",880,"SARCOMA, NOS","8800/3","Sarcoma, NOS","8800"
"5132","C440-C449","SKIN",880,"SARCOMA, NOS","8801/3","Spindle cell sarcoma","8801"
"5133","C440-C449","SKIN",880,"SARCOMA, NOS","8802/3","Giant cell sarcoma","8802"
"5134","C440-C449","SKIN",880,"SARCOMA, NOS","8803/3","Small cell sarcoma","8803"
"5135","C440-C449","SKIN",880,"SARCOMA, NOS","8804/3","Epithelioid sarcoma","8804"
"5136","C440-C449","SKIN",880,"SARCOMA, NOS","8805/3","Undifferentiated sarcoma","8805"
"5137","C440-C449","SKIN",880,"SARCOMA, NOS","8806/3","Desmoplastic small round cell tumor","8806"
"5138","C440-C449","SKIN",881,"FIBROMATOUS NEOPLASMS","8810/3","Fibrosarcoma, NOS","8810"
"5139","C440-C449","SKIN",881,"FIBROMATOUS NEOPLASMS","8811/3","Fibromyxosarcoma","8811"
"5140","C440-C449","SKIN",881,"FIBROMATOUS NEOPLASMS","8813/3","Fascial fibrosarcoma","8813"
"5141","C440-C449","SKIN",881,"FIBROMATOUS NEOPLASMS","8814/3","Infantile fibrosarcoma","8814"
"5142","C440-C449","SKIN",881,"FIBROMATOUS NEOPLASMS","8815/3","Solitary fibrous tumor, malignant","8815"
"5143","C440-C449","SKIN",883,"FIBROUS HISTIOCYTOMA, MAL.","8830/3","Fibrous histiocytoma, malignant","8830"
"5144","C440-C449","SKIN",883,"FIBROUS HISTIOCYTOMA, MAL.","8832/3","Dermatofibrosarcoma, NOS","8832"
"5145","C440-C449","SKIN",883,"FIBROUS HISTIOCYTOMA, MAL.","8833/3","Pigmented dermatofibrosarcoma protuberans","8833"
"5146","C440-C449","SKIN",885,"LIPOSARCOMA NEOPLASMS","8850/3","Liposarcoma, NOS","8850"
"5147","C440-C449","SKIN",885,"LIPOSARCOMA NEOPLASMS","8851/3","Liposarcoma, well differentiated","8851"
"5148","C440-C449","SKIN",885,"LIPOSARCOMA NEOPLASMS","8852/3","Myxoid liposarcoma","8852"
"5149","C440-C449","SKIN",885,"LIPOSARCOMA NEOPLASMS","8853/3","Round cell liposarcoma","8853"
"5150","C440-C449","SKIN",885,"LIPOSARCOMA NEOPLASMS","8854/3","Pleomorphic liposarcoma","8854"
"5151","C440-C449","SKIN",885,"LIPOSARCOMA NEOPLASMS","8855/3","Mixed type liposarcoma","8855"
"5152","C440-C449","SKIN",885,"LIPOSARCOMA NEOPLASMS","8857/3","Fibroblastic liposarcoma","8857"
"5153","C440-C449","SKIN",885,"LIPOSARCOMA NEOPLASMS","8858/3","Dedifferentiated liposarcoma","8858"
"5154","C440-C449","SKIN",889,"MYOMATOUS NEOPLASMS","8890/3","Leiomyosarcoma, NOS","8890"
"5155","C440-C449","SKIN",889,"MYOMATOUS NEOPLASMS","8891/3","Epithelioid leiomyosarcoma","8891"
"5156","C440-C449","SKIN",889,"MYOMATOUS NEOPLASMS","8894/3","Angiomyosarcoma","8894"
"5157","C440-C449","SKIN",889,"MYOMATOUS NEOPLASMS","8895/3","Myosarcoma","8895"
"5158","C440-C449","SKIN",889,"MYOMATOUS NEOPLASMS","8896/3","Myxoid leiomyosarcoma","8896"
"5159","C440-C449","SKIN",891,"EMBRYONAL RHABDOMYOSARCOMA","8910/3","Embryonal rhabdomyosarcoma","8910"
"5160","C440-C449","SKIN",891,"EMBRYONAL RHABDOMYOSARCOMA","8912/3","Spindle cell rhabdomyosarcoma","8912"
"5161","C440-C449","SKIN",894,"MIXED TUMOR, MALIGNANT, NOS","8940/3","Mixed tumor, malignant, NOS","8940"
"5162","C440-C449","SKIN",894,"MIXED TUMOR, MALIGNANT, NOS","8941/3","Carcinoma in pleomorphic adenoma","8941"
"5163","C440-C449","SKIN",898,"CARCINOSARCOMA, NOS","8980/3","Carcinosarcoma, NOS","8980"
"5164","C440-C449","SKIN",898,"CARCINOSARCOMA, NOS","8981/3","Carcinosarcoma, embryonal type","8981"
"5165","C440-C449","SKIN",898,"CARCINOSARCOMA, NOS","8982/3","Malignant myoepithelioma","8982"
"5166","C440-C449","SKIN",912,"BLOOD VESSEL TUMORS","9120/3","Hemangiosarcoma","9120"
"5167","C440-C449","SKIN",913,"HEMANGIOENDOTHELIOMA","9130/3","Hemangioendothelioma, malignant","9130"
"5168","C440-C449","SKIN",913,"HEMANGIOENDOTHELIOMA","9133/3","Epithelioid hemangioendothelioma, malignant","9133"
"5169","C440-C449","SKIN",914,"KAPOSI SARCOMA","9140/3","Kaposi sarcoma","9140"
"5170","C440-C449","SKIN",915,"HEMANGIOPERICYTOMA","9150/3","Hemangiopericytoma, malignant","9150"
"5171","C440-C449","SKIN",956,"NEURILEMMOMA","9560/3","Neurilemmoma, malignant","9560"
"5172","C440-C449","SKIN",956,"NEURILEMMOMA","9561/3","MPNST with rhabdomyoblastic differentiation","9561"
"5173","C440-C449","SKIN",959,"MALIGNANT LYMPHOMA, NOS","9590/3","Malignant lymphoma, NOS","9590"
"5174","C440-C449","SKIN",959,"MALIGNANT LYMPHOMA, NOS","9591/3","Malignant lymphoma, non-Hodgkin","9591"
"5175","C440-C449","SKIN",959,"MALIGNANT LYMPHOMA, NOS","9596/3","Composite Hodgkin and non-Hodgkin lymphoma","9596"
"5176","C440-C449","SKIN",959,"MALIGNANT LYMPHOMA, NOS","9597/3","Primary Cutaneous follicle centre lymphoma","9597"
"5177","C440-C449","SKIN",965,"HODGKIN LYMPHOMA","9650/3","Hodgkin lymphoma, NOS","9650"
"5178","C440-C449","SKIN",965,"HODGKIN LYMPHOMA","9651/3","Hodgkin lymphoma, lymphocyte-rich","9651"
"5179","C440-C449","SKIN",965,"HODGKIN LYMPHOMA","9652/3","Hodgkin lymphoma, mixed cellularity, NOS","9652"
"5180","C440-C449","SKIN",965,"HODGKIN LYMPHOMA","9653/3","Hodgkin lymphoma, lymphocytic deplet., NOS","9653"
"5181","C440-C449","SKIN",965,"HODGKIN LYMPHOMA","9654/3","Hodgkin lymph., lymphocyt. deplet., diffuse fibrosis","9654"
"5182","C440-C449","SKIN",965,"HODGKIN LYMPHOMA","9655/3","Hodgkin lymphoma, lymphocyt. deplet., reticular","9655"
"5183","C440-C449","SKIN",965,"HODGKIN LYMPHOMA","9659/3","Hodgkin lymph., nodular lymphocyte predom.","9659"
"5184","C440-C449","SKIN",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9661/3","Hodgkin granuloma [obs]","9661"
"5185","C440-C449","SKIN",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9662/3","Hodgkin sarcoma [obs]","9662"
"5186","C440-C449","SKIN",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9663/3","Hodgkin lymphoma, nodular sclerosis, NOS","9663"
"5187","C440-C449","SKIN",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9664/3","Hodgkin lymphoma, nod. scler., cellular phase","9664"
"5188","C440-C449","SKIN",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9665/3","Hodgkin lymphoma, nod. scler., grade 1","9665"
"5189","C440-C449","SKIN",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9667/3","Hodgkin lymphoma, nod. scler., grade 2","9667"
"5190","C440-C449","SKIN",967,"ML, SMALL B-CELL LYMPHOCYTIC","9670/3","ML, small B lymphocytic, NOS","9670"
"5191","C440-C449","SKIN",967,"ML, SMALL B-CELL LYMPHOCYTIC","9671/3","ML, lymphoplasmacytic","9671"
"5192","C440-C449","SKIN",967,"ML, SMALL B-CELL LYMPHOCYTIC","9673/3","Mantle cell lymphoma","9673"
"5193","C440-C449","SKIN",967,"ML, SMALL B-CELL LYMPHOCYTIC","9675/3","ML, mixed sm. and lg. cell, diffuse","9675"
"5194","C440-C449","SKIN",968,"ML, LARGE B-CELL, DIFFUSE","9680/3","ML, large B-cell, diffuse","9680"
"5195","C440-C449","SKIN",968,"ML, LARGE B-CELL, DIFFUSE","9684/3","ML, large B-cell, diffuse, immunoblastic, NOS","9684"
"5196","C440-C449","SKIN",968,"ML, LARGE B-CELL, DIFFUSE","9687/3","Burkitt lymphoma, NOS","9687"
"5197","C440-C449","SKIN",969,"FOLLIC. & MARGINAL LYMPH, NOS","9690/3","Follicular lymphoma, NOS","9690"
"5198","C440-C449","SKIN",969,"FOLLIC. & MARGINAL LYMPH, NOS","9691/3","Follicular lymphoma, grade 2","9691"
"5199","C440-C449","SKIN",969,"FOLLIC. & MARGINAL LYMPH, NOS","9695/3","Follicular lymphoma, grade 1","9695"
"5200","C440-C449","SKIN",969,"FOLLIC. & MARGINAL LYMPH, NOS","9698/3","Follicular lymphoma, grade 3","9698"
"5201","C440-C449","SKIN",969,"FOLLIC. & MARGINAL LYMPH, NOS","9699/3","Marginal zone B-cell lymphoma, NOS","9699"
"5202","C440-C449","SKIN",970,"T-CELL LYMPHOMAS","9700/3","Mycosis fungoides","9700"
"5203","C440-C449","SKIN",970,"T-CELL LYMPHOMAS","9701/3","Sezary syndrome","9701"
"5204","C440-C449","SKIN",970,"T-CELL LYMPHOMAS","9702/3","Mature T-cell lymphoma, NOS","9702"
"5205","C440-C449","SKIN",970,"T-CELL LYMPHOMAS","9705/3","Angioimmunoblastic T-cell lymphoma","9705"
"5206","C440-C449","SKIN",970,"T-CELL LYMPHOMAS","9708/3","Subcutaneous panniculitis-like T-cell lymphoma","9708"
"5207","C440-C449","SKIN",970,"T-CELL LYMPHOMAS","9709/3","Cutaneous T-cell lymphoma, NOS","9709"
"5208","C440-C449","SKIN",971,"OTHER SPEC. NON-HODGKIN LYMPHOMA","9718/3","Primary cutan. CD30+ T-cell lymphoprolif. disorder","9718"
"5209","C440-C449","SKIN",972,"PRECURS. CELL LYMPHOBLASTIC LYMPH.","9725/3","Hydroa vacciniforme-like lymphoma","9725"
"5210","C440-C449","SKIN",972,"PRECURS. CELL LYMPHOBLASTIC LYMPH.","9726/3","Primary Cutaneous gamma-delta T-cell lymphoma","9726"
"5211","C440-C449","SKIN",972,"PRECURS. CELL LYMPHOBLASTIC LYMPH.","9727/3","Precursor cell lymphoblastic lymphoma, NOS","9727"
"5212","C440-C449","SKIN",972,"PRECURS. CELL LYMPHOBLASTIC LYMPH.","9728/3","Precursor B-cell lymphoblastic lymphoma","9728"
"5213","C440-C449","SKIN",972,"PRECURS. CELL LYMPHOBLASTIC LYMPH.","9729/3","Precursor T-cell lymphoblastic lymphoma","9729"
"5214","C440-C449","SKIN",975,"NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS","9751/3","Langerhans cell histiocytosis, NOS","9751"
"5215","C440-C449","SKIN",982,"LYMPHOID LEUKEMIA, NOS","9823/3","Chronic lymphocytic leukemia/small lymphocytic lymphoma","9823"
"5216","C440-C449","SKIN",983,"PROLYMPH/PRECURS LEUKEMIA","9837/3","T lymphoblastic leukemia/lymphoma","9837"
"5217","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",800,"NEOPLASM","8000/3","Neoplasm, malignant","8000"
"5218","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",800,"NEOPLASM","8001/3","Tumor cells, malignant","8001"
"5219","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",800,"NEOPLASM","8002/3","Malignant tumor, small cell type","8002"
"5220","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",800,"NEOPLASM","8003/3","Malignant tumor, giant cell type","8003"
"5221","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",800,"NEOPLASM","8004/3","Malignant tumor, spindle cell type","8004"
"5222","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",800,"NEOPLASM","8005/3","Malignant tumor, clear cell type","8005"
"5223","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",868,"PARAGANGLIOMA","8680/3","Paraganglioma, malignant","8680"
"5224","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",869,"EXTRA-ADRENAL PARAGANG., MAL","8693/3","Extra-adrenal paraganglioma, malignant","8693"
"5225","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",880,"SARCOMA, NOS","8800/3","Sarcoma, NOS","8800"
"5226","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",880,"SARCOMA, NOS","8801/3","Spindle cell sarcoma","8801"
"5227","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",880,"SARCOMA, NOS","8802/3","Giant cell sarcoma","8802"
"5228","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",880,"SARCOMA, NOS","8803/3","Small cell sarcoma","8803"
"5229","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",880,"SARCOMA, NOS","8804/3","Epithelioid sarcoma","8804"
"5230","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",880,"SARCOMA, NOS","8805/3","Undifferentiated sarcoma","8805"
"5231","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",880,"SARCOMA, NOS","8806/3","Desmoplastic small round cell tumor","8806"
"5232","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",881,"FIBROMATOUS NEOPLASMS","8810/3","Fibrosarcoma, NOS","8810"
"5233","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",881,"FIBROMATOUS NEOPLASMS","8811/3","Fibromyxosarcoma","8811"
"5234","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",881,"FIBROMATOUS NEOPLASMS","8813/3","Fascial fibrosarcoma","8813"
"5235","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",881,"FIBROMATOUS NEOPLASMS","8814/3","Infantile fibrosarcoma","8814"
"5236","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",881,"FIBROMATOUS NEOPLASMS","8815/3","Solitary fibrous tumor, malignant","8815"
"5237","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",883,"FIBROUS HISTIOCYTOMA, MAL.","8830/3","Fibrous histiocytoma, malignant","8830"
"5238","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",883,"FIBROUS HISTIOCYTOMA, MAL.","8832/3","Dermatofibrosarcoma, NOS","8832"
"5239","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",883,"FIBROUS HISTIOCYTOMA, MAL.","8833/3","Pigmented dermatofibrosarcoma protuberans","8833"
"5240","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",884,"MYXOSARCOMA","8840/3","Myxosarcoma","8840"
"5241","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",885,"LIPOSARCOMA NEOPLASMS","8850/3","Liposarcoma, NOS","8850"
"5242","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",885,"LIPOSARCOMA NEOPLASMS","8851/3","Liposarcoma, well differentiated","8851"
"5243","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",885,"LIPOSARCOMA NEOPLASMS","8852/3","Myxoid liposarcoma","8852"
"5244","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",885,"LIPOSARCOMA NEOPLASMS","8853/3","Round cell liposarcoma","8853"
"5245","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",885,"LIPOSARCOMA NEOPLASMS","8854/3","Pleomorphic liposarcoma","8854"
"5246","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",885,"LIPOSARCOMA NEOPLASMS","8855/3","Mixed type liposarcoma","8855"
"5247","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",885,"LIPOSARCOMA NEOPLASMS","8857/3","Fibroblastic liposarcoma","8857"
"5248","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",885,"LIPOSARCOMA NEOPLASMS","8858/3","Dedifferentiated liposarcoma","8858"
"5249","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",889,"MYOMATOUS NEOPLASMS","8890/3","Leiomyosarcoma, NOS","8890"
"5250","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",889,"MYOMATOUS NEOPLASMS","8891/3","Epithelioid leiomyosarcoma","8891"
"5251","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",889,"MYOMATOUS NEOPLASMS","8894/3","Angiomyosarcoma","8894"
"5252","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",889,"MYOMATOUS NEOPLASMS","8895/3","Myosarcoma","8895"
"5253","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",889,"MYOMATOUS NEOPLASMS","8896/3","Myxoid leiomyosarcoma","8896"
"5254","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",890,"RHABDOMYOSARCOMA, NOS","8900/3","Rhabdomyosarcoma, NOS","8900"
"5255","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",890,"RHABDOMYOSARCOMA, NOS","8901/3","Pleomorphic rhabdomyosarcoma, adult type","8901"
"5256","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",890,"RHABDOMYOSARCOMA, NOS","8902/3","Mixed type rhabdomyosarcoma","8902"
"5257","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",891,"EMBRYONAL RHABDOMYOSARCOMA","8910/3","Embryonal rhabdomyosarcoma","8910"
"5258","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",891,"EMBRYONAL RHABDOMYOSARCOMA","8912/3","Spindle cell rhabdomyosarcoma","8912"
"5259","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",892,"ALVEOLAR RHABDOMYOSARCOMA","8920/3","Alveolar rhabdomyosarcoma","8920"
"5260","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",892,"ALVEOLAR RHABDOMYOSARCOMA","8921/3","Rhabdomyosarcoma with ganglionic differentiation","8921"
"5261","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",895,"MULLERIAN MIXED TUMOR","8950/3","Mullerian mixed tumor","8950"
"5262","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",895,"MULLERIAN MIXED TUMOR","8951/3","Mesodermal mixed tumor","8951"
"5263","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",899,"MESENCHYMOMA, MALIGNANT","8990/3","Mesenchymoma, malignant","8990"
"5264","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",899,"MESENCHYMOMA, MALIGNANT","8991/3","Embryonal sarcoma","8991"
"5265","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",904,"SYNOVIAL SARCOMA, NOS","9040/3","Synovial sarcoma, NOS","9040"
"5266","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",904,"SYNOVIAL SARCOMA, NOS","9041/3","Synovial sarcoma, spindle cell","9041"
"5267","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",904,"SYNOVIAL SARCOMA, NOS","9042/3","Synovial sarcoma, epithelioid cell","9042"
"5268","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",904,"SYNOVIAL SARCOMA, NOS","9043/3","Synovial sarcoma, biphasic","9043"
"5269","C470-C476,C478-C479,C490-C496,C498-C499","CONNECTIVE & SOFT TISSUE",904,"SYNOVIAL SARCOMA, NOS","9044/3","Clear cell sarcoma,NOS (except of kidney M-8964/3)","9044"
